scene_num,gloss_cat,specular_magnitude,specular_concentration,bump_height,albedo_r,albedo_g,albedo_b,camera_x,camera_z,rot_camera,skybox
scene000017,1,0.493,0.784,038.80,0.426,0.541,0.657,-03.09,004.2,-119.3,UniteWhiteBalanced (UnityEngine.Material)
scene000018,0,0.283,0.268,094.21,0.655,0.649,0.632,00.77,000.5,-176.2,MuirWoodWhiteBalanced (UnityEngine.Material)
scene000019,1,0.366,0.755,051.09,0.429,0.307,0.657,05.12,002.3,151.3,MuirWoodWhiteBalanced (UnityEngine.Material)
scene000020,1,0.408,0.753,083.81,0.574,0.669,0.443,04.99,-009.5,027.0,GareoultWhiteBalanced (UnityEngine.Material)
scene000021,1,0.455,0.879,093.47,0.323,0.442,0.315,07.68,005.4,-038.6,UniteWhiteBalanced (UnityEngine.Material)
scene000022,0,0.244,0.348,045.44,0.671,0.524,0.438,-01.65,-008.3,-089.0,UniteWhiteBalanced (UnityEngine.Material)
scene000023,0,0.188,0.223,019.94,0.592,0.503,0.696,06.57,006.5,-177.1,MuirWoodWhiteBalanced (UnityEngine.Material)
scene000024,0,0.165,0.294,032.44,0.594,0.352,0.660,09.97,-001.1,171.2,UniteWhiteBalanced (UnityEngine.Material)
scene000025,0,0.151,0.295,074.95,0.377,0.651,0.448,03.04,-004.7,054.9,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene000026,0,0.211,0.265,098.48,0.302,0.531,0.605,-08.88,-001.6,062.4,MuirWoodWhiteBalanced (UnityEngine.Material)
scene000027,1,0.396,0.885,015.57,0.474,0.412,0.450,00.49,-006.2,174.5,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene000028,0,0.176,0.247,052.47,0.429,0.565,0.360,02.20,-008.8,-047.4,MuirWoodWhiteBalanced (UnityEngine.Material)
scene000029,1,0.454,0.894,051.72,0.599,0.435,0.340,02.32,004.6,125.8,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene000030,0,0.156,0.305,049.85,0.593,0.322,0.310,07.70,-002.5,095.5,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene000031,0,0.125,0.286,072.16,0.455,0.592,0.522,07.33,008.8,140.8,GareoultWhiteBalanced (UnityEngine.Material)
scene000032,0,0.271,0.246,022.20,0.427,0.683,0.357,-06.70,-006.6,173.6,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene000033,0,0.242,0.242,080.83,0.446,0.492,0.496,-03.83,-002.8,012.6,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene000034,0,0.168,0.287,017.03,0.643,0.411,0.683,03.78,-000.5,-038.4,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene000035,1,0.394,0.765,083.74,0.603,0.357,0.608,-06.00,004.6,-130.4,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene000036,0,0.225,0.263,068.20,0.668,0.385,0.462,-04.30,-009.1,-064.9,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene000037,1,0.346,0.838,085.76,0.474,0.343,0.599,04.77,-004.1,-016.0,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene000038,1,0.346,0.760,094.33,0.641,0.504,0.573,-01.36,-004.9,132.0,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene000039,1,0.314,0.915,025.50,0.575,0.310,0.413,00.69,002.8,111.4,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene000040,0,0.222,0.311,003.81,0.578,0.605,0.573,01.57,000.0,143.0,MuirWoodWhiteBalanced (UnityEngine.Material)
scene000041,0,0.200,0.366,033.16,0.322,0.314,0.676,01.49,005.0,061.9,GareoultWhiteBalanced (UnityEngine.Material)
scene000042,1,0.407,0.854,067.13,0.536,0.605,0.565,04.70,002.4,169.9,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene000043,1,0.381,0.769,086.76,0.631,0.533,0.364,02.72,-001.1,089.4,MuirWoodWhiteBalanced (UnityEngine.Material)
scene000044,1,0.315,0.901,014.03,0.355,0.360,0.506,02.42,-004.6,-025.9,GareoultWhiteBalanced (UnityEngine.Material)
scene000045,0,0.178,0.379,083.91,0.572,0.366,0.575,08.97,-002.0,016.3,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene000046,0,0.266,0.237,020.10,0.566,0.323,0.590,03.21,000.6,-067.8,MuirWoodWhiteBalanced (UnityEngine.Material)
scene000047,0,0.187,0.266,086.64,0.462,0.583,0.329,-00.35,-007.9,-011.3,GareoultWhiteBalanced (UnityEngine.Material)
scene000048,0,0.170,0.384,040.77,0.331,0.326,0.317,07.07,000.9,-100.2,UniteWhiteBalanced (UnityEngine.Material)
scene000049,1,0.409,0.814,050.87,0.385,0.507,0.461,-08.30,003.5,123.6,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene000050,0,0.262,0.346,076.86,0.625,0.425,0.423,07.64,009.3,-115.8,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene000051,1,0.363,0.900,052.71,0.345,0.506,0.446,-03.34,009.5,-036.8,GareoultWhiteBalanced (UnityEngine.Material)
scene000052,1,0.499,0.820,047.40,0.696,0.426,0.454,-09.92,001.3,010.3,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene000053,1,0.473,0.815,062.17,0.474,0.428,0.697,-05.80,000.8,070.7,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene000054,1,0.476,0.796,085.18,0.628,0.331,0.470,-08.87,004.6,-122.9,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene000055,0,0.105,0.211,042.24,0.371,0.461,0.311,-03.10,-006.4,-135.5,UniteWhiteBalanced (UnityEngine.Material)
scene000056,0,0.192,0.204,038.94,0.644,0.559,0.334,-03.58,-008.7,-143.6,UniteWhiteBalanced (UnityEngine.Material)
scene000057,1,0.461,0.892,075.25,0.565,0.502,0.310,06.08,008.3,-114.6,UniteWhiteBalanced (UnityEngine.Material)
scene000058,0,0.219,0.352,058.46,0.337,0.440,0.430,01.49,001.8,-168.7,MuirWoodWhiteBalanced (UnityEngine.Material)
scene000059,1,0.482,0.828,025.47,0.543,0.501,0.306,03.17,004.6,002.1,GareoultWhiteBalanced (UnityEngine.Material)
scene000060,0,0.115,0.366,041.14,0.304,0.655,0.576,-04.65,-005.1,-086.2,MuirWoodWhiteBalanced (UnityEngine.Material)
scene000061,1,0.495,0.902,083.11,0.524,0.530,0.306,-09.30,-007.2,-126.7,MuirWoodWhiteBalanced (UnityEngine.Material)
scene000062,1,0.341,0.847,012.85,0.412,0.324,0.390,-09.43,-006.1,-059.5,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene000063,0,0.197,0.300,033.30,0.582,0.523,0.421,-02.69,-006.3,029.8,MuirWoodWhiteBalanced (UnityEngine.Material)
scene000064,1,0.466,0.823,036.51,0.576,0.614,0.597,05.68,-003.1,-111.4,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene000065,1,0.350,0.822,030.53,0.693,0.518,0.540,01.55,-002.0,-102.9,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene000066,1,0.423,0.944,047.61,0.314,0.494,0.437,-01.67,004.1,-073.3,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene000067,0,0.119,0.303,003.83,0.445,0.625,0.490,07.70,007.3,179.6,UniteWhiteBalanced (UnityEngine.Material)
scene000068,0,0.296,0.231,096.21,0.544,0.619,0.390,-09.84,-001.1,-155.9,GareoultWhiteBalanced (UnityEngine.Material)
scene000069,0,0.251,0.342,040.36,0.631,0.531,0.385,-06.26,-009.9,-097.7,MuirWoodWhiteBalanced (UnityEngine.Material)
scene000070,0,0.197,0.356,061.41,0.506,0.521,0.523,01.68,006.6,079.6,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene000071,1,0.441,0.770,007.50,0.538,0.601,0.322,-01.47,008.6,-135.5,UniteWhiteBalanced (UnityEngine.Material)
scene000072,0,0.300,0.321,070.32,0.454,0.414,0.414,05.98,009.7,150.9,MuirWoodWhiteBalanced (UnityEngine.Material)
scene000073,0,0.110,0.308,059.93,0.659,0.395,0.583,05.98,-009.3,165.5,UniteWhiteBalanced (UnityEngine.Material)
scene000074,1,0.493,0.832,016.36,0.405,0.568,0.557,04.64,003.2,-027.3,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene000075,0,0.287,0.373,033.92,0.461,0.587,0.448,06.14,007.1,-120.7,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene000076,1,0.483,0.848,014.01,0.690,0.665,0.500,-04.99,-006.7,077.6,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene000077,1,0.381,0.767,013.63,0.310,0.321,0.638,-09.79,006.4,091.6,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene000078,1,0.350,0.892,064.91,0.544,0.649,0.691,03.67,001.9,164.7,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene000079,0,0.155,0.383,040.33,0.411,0.336,0.480,01.72,-003.6,011.0,GareoultWhiteBalanced (UnityEngine.Material)
scene000080,0,0.101,0.245,010.15,0.565,0.357,0.661,-05.90,009.7,013.0,GareoultWhiteBalanced (UnityEngine.Material)
scene000081,1,0.420,0.845,017.43,0.594,0.340,0.491,-09.10,-008.3,-132.2,MuirWoodWhiteBalanced (UnityEngine.Material)
scene000082,1,0.457,0.752,007.06,0.600,0.619,0.571,00.70,008.4,-165.2,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene000083,0,0.245,0.366,087.58,0.309,0.542,0.436,09.12,005.8,132.2,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene000084,1,0.423,0.818,092.20,0.329,0.536,0.495,01.25,-009.4,011.7,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene000085,1,0.433,0.752,032.61,0.509,0.340,0.534,-02.85,-010.0,-068.8,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene000086,1,0.398,0.905,027.25,0.434,0.457,0.331,-00.79,-003.6,-088.6,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene000087,1,0.480,0.894,081.80,0.566,0.305,0.458,04.27,-009.9,019.6,UniteWhiteBalanced (UnityEngine.Material)
scene000088,1,0.312,0.933,089.51,0.409,0.323,0.532,-00.89,009.3,110.8,UniteWhiteBalanced (UnityEngine.Material)
scene000089,1,0.400,0.918,015.49,0.613,0.699,0.351,-06.73,-006.7,-013.4,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene000090,0,0.259,0.221,061.21,0.452,0.384,0.555,-09.16,005.0,107.5,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene000091,1,0.326,0.885,093.31,0.462,0.308,0.648,-02.35,-000.4,-156.7,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene000092,0,0.223,0.390,031.69,0.685,0.548,0.502,08.74,009.0,008.1,GareoultWhiteBalanced (UnityEngine.Material)
scene000093,1,0.453,0.753,057.18,0.362,0.386,0.504,05.81,003.2,156.3,UniteWhiteBalanced (UnityEngine.Material)
scene000094,1,0.386,0.898,052.17,0.494,0.696,0.457,02.79,005.8,109.0,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene000095,1,0.340,0.799,056.26,0.465,0.593,0.326,-07.53,007.3,-109.3,UniteWhiteBalanced (UnityEngine.Material)
scene000096,0,0.114,0.264,097.86,0.444,0.632,0.690,09.77,-008.1,-133.8,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene000097,0,0.265,0.338,005.39,0.558,0.370,0.405,-02.41,-001.6,-022.8,GareoultWhiteBalanced (UnityEngine.Material)
scene000098,0,0.216,0.392,031.05,0.618,0.523,0.377,-08.49,002.0,-080.2,UniteWhiteBalanced (UnityEngine.Material)
scene000099,0,0.267,0.384,087.23,0.364,0.350,0.416,09.47,009.4,-052.4,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene000100,1,0.438,0.842,076.61,0.466,0.604,0.458,09.71,001.0,-121.8,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene000101,1,0.461,0.878,022.53,0.689,0.577,0.316,-09.45,000.5,063.8,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene000102,1,0.484,0.815,050.20,0.423,0.682,0.671,-06.34,-004.4,056.9,GareoultWhiteBalanced (UnityEngine.Material)
scene000103,1,0.428,0.906,039.58,0.528,0.570,0.403,-03.86,-006.6,-054.7,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene000104,0,0.132,0.266,051.67,0.384,0.599,0.362,06.71,001.7,-028.9,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene000105,0,0.127,0.344,005.77,0.555,0.380,0.519,-00.37,-000.6,-046.5,GareoultWhiteBalanced (UnityEngine.Material)
scene000106,1,0.465,0.797,028.12,0.400,0.465,0.367,-02.09,007.6,-115.6,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene000107,0,0.273,0.381,035.96,0.414,0.638,0.652,-09.77,-000.5,081.5,UniteWhiteBalanced (UnityEngine.Material)
scene000108,1,0.491,0.941,064.03,0.687,0.313,0.665,-02.77,004.7,019.4,GareoultWhiteBalanced (UnityEngine.Material)
scene000109,0,0.201,0.310,067.05,0.557,0.385,0.513,-04.49,003.8,-025.5,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene000110,1,0.320,0.898,067.87,0.526,0.540,0.351,-04.46,004.5,121.6,UniteWhiteBalanced (UnityEngine.Material)
scene000111,1,0.391,0.772,018.72,0.435,0.582,0.677,02.57,009.3,068.1,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene000112,0,0.273,0.221,089.40,0.666,0.398,0.597,01.16,007.1,176.1,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene000113,1,0.330,0.769,068.97,0.538,0.395,0.354,07.25,-004.8,100.6,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene000114,1,0.456,0.774,099.37,0.407,0.506,0.541,-08.26,-006.9,-056.8,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene000115,0,0.115,0.288,028.47,0.659,0.577,0.368,04.51,003.7,047.6,MuirWoodWhiteBalanced (UnityEngine.Material)
scene000116,0,0.266,0.271,081.24,0.512,0.608,0.380,06.14,-009.1,-175.0,GareoultWhiteBalanced (UnityEngine.Material)
scene000117,0,0.184,0.261,072.84,0.654,0.696,0.490,-06.23,-009.1,018.3,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene000118,0,0.238,0.234,080.01,0.630,0.659,0.403,03.42,004.7,-174.8,UniteWhiteBalanced (UnityEngine.Material)
scene000119,0,0.126,0.206,047.58,0.414,0.553,0.487,05.07,004.4,-045.9,GareoultWhiteBalanced (UnityEngine.Material)
scene000120,1,0.430,0.839,073.84,0.457,0.517,0.637,-01.80,-009.2,-068.3,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene000121,0,0.252,0.231,079.85,0.560,0.407,0.672,-07.18,-009.6,055.4,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene000122,0,0.166,0.332,015.40,0.489,0.460,0.460,03.39,-004.2,-071.7,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene000123,1,0.461,0.928,079.59,0.349,0.421,0.400,-09.93,005.0,-064.8,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene000124,0,0.121,0.359,048.52,0.393,0.475,0.562,-00.19,006.1,-079.4,GareoultWhiteBalanced (UnityEngine.Material)
scene000125,1,0.331,0.788,054.44,0.482,0.428,0.589,-04.62,-001.5,-076.9,MuirWoodWhiteBalanced (UnityEngine.Material)
scene000126,0,0.178,0.245,016.36,0.360,0.328,0.322,-03.22,-009.9,-073.6,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene000127,0,0.225,0.220,089.47,0.578,0.500,0.409,05.71,-008.7,032.0,UniteWhiteBalanced (UnityEngine.Material)
scene000128,1,0.406,0.872,006.76,0.512,0.636,0.601,03.48,-008.7,107.1,MuirWoodWhiteBalanced (UnityEngine.Material)
scene000129,0,0.105,0.299,020.61,0.401,0.608,0.631,07.16,-000.8,-061.0,MuirWoodWhiteBalanced (UnityEngine.Material)
scene000130,1,0.342,0.945,060.01,0.512,0.590,0.539,-08.37,-007.8,-130.7,MuirWoodWhiteBalanced (UnityEngine.Material)
scene000131,0,0.132,0.266,008.55,0.504,0.463,0.562,05.83,006.5,-065.2,GareoultWhiteBalanced (UnityEngine.Material)
scene000132,1,0.365,0.842,080.05,0.698,0.331,0.538,01.02,-006.1,-125.0,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene000133,1,0.467,0.759,032.83,0.439,0.693,0.572,01.50,002.2,057.5,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene000134,1,0.359,0.868,031.22,0.411,0.567,0.353,07.86,005.7,-154.1,MuirWoodWhiteBalanced (UnityEngine.Material)
scene000135,0,0.293,0.212,093.02,0.401,0.653,0.607,-00.76,-009.8,-159.5,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene000136,0,0.286,0.275,003.22,0.474,0.692,0.628,-08.30,009.3,128.1,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene000137,0,0.147,0.388,053.60,0.376,0.322,0.628,-05.88,-009.0,074.9,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene000138,1,0.407,0.759,016.22,0.617,0.326,0.381,-05.28,-008.4,147.6,MuirWoodWhiteBalanced (UnityEngine.Material)
scene000139,0,0.295,0.217,099.15,0.410,0.395,0.612,-00.70,-010.0,016.2,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene000140,0,0.231,0.319,051.04,0.491,0.657,0.697,-06.95,001.6,094.5,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene000141,1,0.301,0.883,079.69,0.684,0.611,0.435,01.98,-000.2,090.9,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene000142,1,0.432,0.941,089.82,0.501,0.660,0.554,-06.10,000.5,-050.6,MuirWoodWhiteBalanced (UnityEngine.Material)
scene000143,1,0.482,0.870,090.90,0.617,0.445,0.539,04.35,001.6,032.3,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene000144,1,0.475,0.930,094.50,0.362,0.507,0.566,00.00,002.7,152.2,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene000145,0,0.188,0.329,066.44,0.350,0.576,0.663,-03.73,-000.3,013.6,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene000146,0,0.159,0.362,044.83,0.428,0.576,0.672,07.36,-004.6,-053.7,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene000147,0,0.191,0.327,007.79,0.675,0.409,0.575,-02.28,-004.2,029.7,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene000148,1,0.319,0.775,070.05,0.461,0.530,0.633,-05.31,-001.2,078.8,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene000149,0,0.119,0.258,033.30,0.460,0.373,0.565,01.26,-009.2,-032.1,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene000150,1,0.478,0.820,094.55,0.466,0.685,0.656,-02.90,-003.6,178.4,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene000151,0,0.168,0.344,051.04,0.523,0.600,0.491,-02.21,008.5,-044.3,GareoultWhiteBalanced (UnityEngine.Material)
scene000152,1,0.428,0.852,062.73,0.538,0.527,0.402,03.84,-006.3,-017.0,MuirWoodWhiteBalanced (UnityEngine.Material)
scene000153,1,0.433,0.914,020.79,0.441,0.412,0.647,-01.54,004.9,-161.9,MuirWoodWhiteBalanced (UnityEngine.Material)
scene000154,0,0.139,0.261,094.34,0.445,0.571,0.326,08.76,002.3,-161.9,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene000155,0,0.116,0.280,059.18,0.470,0.673,0.311,00.93,003.3,115.8,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene000156,1,0.375,0.887,083.02,0.569,0.635,0.528,05.47,-008.1,-020.9,MuirWoodWhiteBalanced (UnityEngine.Material)
scene000157,0,0.118,0.354,067.57,0.389,0.570,0.482,-09.46,000.6,-126.0,GareoultWhiteBalanced (UnityEngine.Material)
scene000158,1,0.484,0.884,076.05,0.394,0.636,0.570,-00.42,-001.5,-147.7,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene000159,1,0.430,0.840,066.77,0.425,0.636,0.378,-09.23,-007.1,-093.9,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene000160,1,0.403,0.902,086.60,0.437,0.489,0.371,-02.88,-009.2,-096.6,UniteWhiteBalanced (UnityEngine.Material)
scene000161,0,0.183,0.381,091.55,0.348,0.538,0.327,-06.84,003.2,-027.8,GareoultWhiteBalanced (UnityEngine.Material)
scene000162,0,0.178,0.206,091.48,0.381,0.445,0.546,01.22,005.5,121.0,UniteWhiteBalanced (UnityEngine.Material)
scene000163,1,0.441,0.837,097.70,0.675,0.614,0.547,08.22,002.6,126.2,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene000164,0,0.159,0.286,003.83,0.376,0.572,0.564,-03.77,007.2,049.3,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene000165,1,0.475,0.933,079.64,0.562,0.654,0.473,00.10,007.8,098.3,GareoultWhiteBalanced (UnityEngine.Material)
scene000166,0,0.229,0.255,011.31,0.497,0.415,0.536,02.41,-009.4,110.2,UniteWhiteBalanced (UnityEngine.Material)
scene000167,0,0.146,0.373,054.38,0.650,0.526,0.321,07.42,000.4,-154.1,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene000168,1,0.400,0.875,043.39,0.372,0.476,0.511,04.75,005.8,016.7,MuirWoodWhiteBalanced (UnityEngine.Material)
scene000169,0,0.177,0.328,084.43,0.643,0.426,0.476,02.06,-009.9,040.4,UniteWhiteBalanced (UnityEngine.Material)
scene000170,0,0.122,0.393,034.99,0.568,0.426,0.666,04.77,-006.2,121.4,UniteWhiteBalanced (UnityEngine.Material)
scene000171,1,0.354,0.780,046.37,0.533,0.517,0.379,-09.79,-006.0,172.1,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene000172,0,0.164,0.377,022.94,0.685,0.372,0.576,04.15,-010.0,087.0,GareoultWhiteBalanced (UnityEngine.Material)
scene000173,0,0.253,0.291,032.98,0.674,0.339,0.699,02.70,001.1,056.8,UniteWhiteBalanced (UnityEngine.Material)
scene000174,0,0.114,0.314,060.79,0.370,0.338,0.320,-02.79,-004.3,-099.6,GareoultWhiteBalanced (UnityEngine.Material)
scene000175,1,0.324,0.758,044.69,0.622,0.690,0.581,-06.44,-001.6,-030.1,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene000176,0,0.283,0.307,003.28,0.620,0.536,0.630,-04.57,006.5,107.4,MuirWoodWhiteBalanced (UnityEngine.Material)
scene000177,0,0.126,0.346,041.14,0.603,0.624,0.652,-01.96,-004.4,-068.8,UniteWhiteBalanced (UnityEngine.Material)
scene000178,0,0.158,0.350,092.51,0.512,0.330,0.652,-04.59,-002.6,141.1,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene000179,0,0.243,0.295,083.88,0.394,0.418,0.534,03.78,009.5,-058.4,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene000180,0,0.172,0.275,084.95,0.637,0.322,0.427,07.17,009.7,151.4,MuirWoodWhiteBalanced (UnityEngine.Material)
scene000181,1,0.447,0.933,015.35,0.441,0.451,0.404,-09.29,-002.9,144.1,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene000182,0,0.173,0.325,060.82,0.484,0.637,0.684,09.16,008.2,082.0,MuirWoodWhiteBalanced (UnityEngine.Material)
scene000183,1,0.354,0.861,089.10,0.593,0.574,0.397,-03.54,003.6,-096.9,GareoultWhiteBalanced (UnityEngine.Material)
scene000184,0,0.199,0.315,007.52,0.461,0.460,0.459,-05.00,005.4,-179.6,MuirWoodWhiteBalanced (UnityEngine.Material)
scene000185,0,0.289,0.294,066.30,0.390,0.438,0.563,-07.81,-000.5,-082.6,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene000186,1,0.419,0.843,033.94,0.397,0.494,0.460,-02.89,-003.1,-008.5,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene000187,1,0.424,0.782,064.96,0.440,0.669,0.545,04.10,-003.0,035.4,MuirWoodWhiteBalanced (UnityEngine.Material)
scene000188,1,0.371,0.932,063.20,0.532,0.328,0.365,01.61,-002.7,-031.7,GareoultWhiteBalanced (UnityEngine.Material)
scene000189,1,0.481,0.918,099.18,0.480,0.422,0.599,03.86,-005.0,-128.1,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene000190,1,0.302,0.786,008.41,0.593,0.312,0.645,-08.15,003.9,-136.5,UniteWhiteBalanced (UnityEngine.Material)
scene000191,1,0.367,0.805,087.62,0.666,0.372,0.613,-01.13,-003.6,008.1,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene000192,0,0.159,0.270,099.00,0.467,0.607,0.418,-03.24,-008.8,-097.6,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene000193,0,0.174,0.266,044.95,0.655,0.478,0.442,-06.35,007.8,163.4,UniteWhiteBalanced (UnityEngine.Material)
scene000194,1,0.490,0.925,011.51,0.634,0.483,0.383,06.61,005.4,-146.6,UniteWhiteBalanced (UnityEngine.Material)
